package,class,source,method,method_start_line,line_missed_counter,line_covered_counter,branch_missed_counter,branch_covered_counter,uncovered_line_count,uncovered_lines
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,sameDiagnostic,267,5,10,6,10,10,"267-268, 273-274, 279-280, 282-283, 285-286"
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,showTrace,322,4,5,6,10,8,322-329
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,overrideDiagnosticCode,148,6,0,6,0,6,"148-149, 151-152, 154-155"
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,overrideDiagnosticMessage,158,6,0,6,0,6,"158-159, 161-162, 164-165"
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,addWalkerWarning,251,3,0,0,0,3,"251, 257, 264"
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,registerDiagnostic,140,1,4,3,3,2,140-141
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,clearWalkerDiagnostics,180,2,0,0,0,2,180-181
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,addWalkerDiagnostic,184,1,5,1,3,2,184-185
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,addWalkerFatal,222,2,0,0,0,2,222-223
astwalkers,astwalkers/AbstractASTWalkerHelper,parse/src/main/java/astwalkers/AbstractASTWalkerHelper.java,addWalkerFatal,226,2,0,0,0,2,226-227
